"","x"
"1",0
"2",0.0831920521047868
"3",0.733321734110751
"4",0.862801428053124
"5",0.909809300688265
"6",0.926125090871816
"7",0.933146666774566
"8",0.938927395610369
"9",0.941467085857176
"10",0.943006005969553
"11",0.944379030224067
"12",0.945259761892238
"13",0.945917950336445
"14",0.946473634022948
"15",0.947056292645688
"16",0.947621417559874
"17",0.948139336335644
"18",0.948658603858225
"19",0.949273632404451
"20",0.949821223610083
"21",0.950526618192706
"22",0.95117536540923
"23",0.95198461349637
"24",0.952569969612734
"25",0.953001568592542
"26",0.953462840002212
"27",0.95391601893101
"28",0.954408311517354
"29",0.954884419141954
"30",0.955311971881326
"31",0.955766499556937
"32",0.956219678485735
"33",0.956643184984671
"34",0.957132780077391
"35",0.957630467650982
"36",0.958095785301088
"37",0.958532779268143
"38",0.959033164335358
"39",0.959528154415325
"40",0.960082489355016
"41",0.960607151864845
"42",0.961142604349169
"43",0.96161871197377
"44",0.962128538268668
"45",0.962681524461547
"46",0.963239905641673
"47",0.96381312303673
"48",0.964336436799748
"49",0.964888074245814
"50",0.965455896653624
"51",0.966060135225355
"52",0.966625260139541
"53",0.967175548838796
"54",0.967773043676468
"55",0.968389420969506
"56",0.968982869566742
"57",0.969546645734116
"58",0.970059169522638
"59",0.970610806968705
"60",0.971116587023167
"61",0.971611577103135
"62",0.972198281966311
"63",0.972718898235704
"64",0.973169379670879
"65",0.973663021004034
"66",0.974105409958337
"67",0.974595005051057
"68",0.975103482599143
"69",0.975630842602596
"70",0.976147412631553
"71",0.976674772635006
"72",0.977192691410776
"73",0.977722748907852
"74",0.978258201392176
"75",0.978840860014917
"76",0.979431611118529
"77",0.980050685905191
"78",0.98071022309621
"79",0.981383247755348
"80",0.981847216658642
"81",0.982280164385261
"82",0.982722553339565
"83",0.983229682140839
"84",0.983676117335578
"85",0.984057812683345
"86",0.984440856777925
"87",0.984794228442643
"88",0.985123322664746
"89",0.985494228038018
"90",0.985844902209112
"91",0.986165903950345
"92",0.986451838274467
"93",0.986748562573085
"94",0.987008870707782
"95",0.987301548765964
"96",0.987606365545453
"97",0.987893648616388
"98",0.988195767902254
"99",0.988477655985941
"100",0.988756846576004
"101",0.988986133534027
"102",0.989246441668724
"103",0.989504052309796
"104",0.989757616710433
"105",0.989969369959902
"106",0.990195959424301
"107",0.990406363926957
"108",0.990581701012504
"109",0.990784013034289
"110",0.990956652626212
"111",0.991127943471324
"112",0.991300583063247
"113",0.991467827667922
"114",0.991645862247093
"115",0.991806363117709
"116",0.991992490177751
"117",0.992155688541991
"118",0.992337769361598
"119",0.99249557273859
"120",0.992665514836889
"121",0.992808481998951
"122",0.992940659186517
"123",0.993079580108143
"124",0.993205013561649
"125",0.993307518319354
"126",0.993443741747355
"127",0.993569175200862
"128",0.993670331211755
"129",0.993795764665261
"130",0.993919849371956
"131",0.994038539091403
"132",0.994166670038534
"133",0.994279964770733
"134",0.994398654490181
"135",0.994517344209628
"136",0.994644126409946
"137",0.994752026154898
"138",0.994857228406226
"139",0.994984010606545
"140",0.995133721502666
"141",0.995238923753994
"142",0.995352218486194
"143",0.995446630763027
"144",0.995568017976098
"145",0.995710985138159
"146",0.995835069844854
"147",0.996015801917648
"148",0.996160117826521
"149",0.99628690002684
"150",0.99637187107599
"151",0.996467632099635
"152",0.996566090616903
"153",0.996645666678805
"154",0.996688826576786
